id_meta,phi_n,mu_n,mu_d,sigma2_d,w_pbs,bestval,nfeval,iter,runtime
adesope_2010,1.142840370850172,82.14782711536353,0.5115082060462494,1.6743980188715255,0.9912027704489706,1.2167971713386614,150150,1000,5308.07061290741
allen_1999,2.958459555245936,175.19228790461278,0.35323893179757365,0.06156095615734553,0.9940139410020342,2.835539913911688,150150,1000,5330.966138601303
alvarez_2006,1.309173252791893,74.32041934212558,-0.9185664872929401,1.2140424297685073,0.9908359931400278,9.136151559534508,150150,1000,5524.895437955856
anderson_1998,2.3393617802262243,54.6270476937636,0.11134188103905227,0.755132078324482,0.9661100503498546,21.520888241573036,150150,1000,5466.239749670029
anestis_2014,2.294662768593989,288.97688670302534,0.3918858773646571,0.3147534547144255,0.979321320040627,2.1020123084710813,150150,1000,5359.986175537109
au_2015,5.530606375116678,40.519388702062955,0.2885100422051508,0.12610153996836124,0.8083489878648568,1.124693856080765,150150,1000,5541.054023265839
baker_2014,2.0369734703452007,45.64420102251567,0.5096484278351283,0.5997500922589607,0.9819658918702705,5.810690999661754,150150,1000,5522.991932153702
banas_2010,1.427296193692976,278.27737039382964,0.4290664872846143,0.20270495425187002,0.9888620377131122,3.5507099638968174,150150,1000,5338.000220775604
banks_2014,2.630689990043087,314.6834475901301,0.6163324760182389,0.38705862753583037,0.5915851505295158,2.7861265505128245,150150,1000,5430.573435544968
banks_2016,1.914810773935733,247.4011844096193,2.4262123968452216,3.294553868519698,0.33807514883282574,0.8110128410929773,150150,1000,5158.673677444458
batalha_2011,1.0532561840955168,126.52355327118877,0.3112834815303606,0.3029260811721901,0.9850785537938859,2.390606998950575,150150,1000,5403.985363960266
beal_2003,1.5924304681749955,47.033750473377225,0.30188309428003807,0.768751445721612,0.9930156018421976,5.085616272958789,150150,1000,5505.259303331375
beaujean_2005,1.7319294185747593,153.95650941513884,1.2617651887548738,0.26268983885104735,0.08803911895460798,-1.9779449826006417,150150,1000,5611.899827718735
berry_2007,1.0482200422807693,328.9643137070891,0.472218918253687,1.1974715446627147,0.9944275178339328,2.5649093246973713,150150,1000,5259.842487812042
